date	name	return
2026-03-31T00:00:00	Indexed Balanced	-3.9200
2026-03-31T00:00:00	Balanced	-3.0900
2026-03-31T00:00:00	Growth	-4.3400
2026-03-31T00:00:00	Cash	0.3500
2026-03-31T00:00:00	Bonds	-1.6400
2026-03-31T00:00:00	Australian Shares	-7.2800
2026-03-31T00:00:00	International Shares	-5.1400
2026-03-31T00:00:00	International Shares - Indexed	-2.2300
2026-03-31T00:00:00	Bonds – Indexed	-1.4200
2026-03-31T00:00:00	Australian Shares – Indexed	-6.3600
2026-03-31T00:00:00	Defensive	-1.0400
2026-03-31T00:00:00	Indexed Defensive	-1.1000
2026-03-31T00:00:00	SRI - Defensive	-1.1700
2026-03-31T00:00:00	High Growth	-5.2300
2026-03-31T00:00:00	Indexed High Growth	-4.8400
2026-03-31T00:00:00	SRI - High Growth	-4.7300
2026-03-31T00:00:00	Indexed Growth 	-4.5500
2026-03-31T00:00:00	Indexed Conservative	-2.9900
2026-03-31T00:00:00	Indexed Stable	-2.1600
2026-03-31T00:00:00	Stable	-1.5500
2026-03-31T00:00:00	Conservative	-2.5500
2026-03-31T00:00:00	SRI - Balanced	-3.1700
2026-03-31T00:00:00	Indexed Balanced	-3.9200
2026-03-31T00:00:00	Balanced	-3.0900
2026-03-31T00:00:00	Growth	-4.3400
2026-03-31T00:00:00	Cash	0.3500
2026-03-31T00:00:00	Bonds	-1.6400
2026-03-31T00:00:00	Australian Shares	-7.2800
2026-03-31T00:00:00	International Shares	-5.1400
2026-03-31T00:00:00	International Shares - Indexed	-2.2300
2026-03-31T00:00:00	Bonds – Indexed	-1.4200
2026-03-31T00:00:00	Australian Shares – Indexed	-6.3600
2026-03-31T00:00:00	Defensive	-1.0400
2026-03-31T00:00:00	Indexed Defensive	-1.1000
2026-03-31T00:00:00	SRI - Defensive	-1.1700
2026-03-31T00:00:00	High Growth	-5.2300
2026-03-31T00:00:00	Indexed High Growth	-4.8400
2026-03-31T00:00:00	SRI - High Growth	-4.7300
2026-03-31T00:00:00	Indexed Growth 	-4.5500
2026-03-31T00:00:00	Indexed Conservative	-2.9900
2026-03-31T00:00:00	Indexed Stable	-2.1600
2026-02-28T00:00:00	Stable	0.7100
2026-02-28T00:00:00	Conservative	0.8700
2026-02-28T00:00:00	SRI - Balanced	1.2300
2026-02-28T00:00:00	Indexed Balanced	1.5400
2026-02-28T00:00:00	Balanced	1.0500
2026-02-28T00:00:00	Growth	1.1700
2026-02-28T00:00:00	Cash	0.2800
2026-02-28T00:00:00	Bonds	0.9100
2026-02-28T00:00:00	Australian Shares	1.2700
2026-02-28T00:00:00	International Shares	1.3500
2026-02-28T00:00:00	International Shares - Indexed	-1.0400
2026-02-28T00:00:00	Bonds – Indexed	1.0000
2026-02-28T00:00:00	Australian Shares – Indexed	3.7400
2026-02-28T00:00:00	Defensive	0.5700
2026-02-28T00:00:00	Indexed Defensive	0.7100
2026-02-28T00:00:00	SRI - Defensive	0.6200
2026-02-28T00:00:00	High Growth	1.3400
2026-02-28T00:00:00	Indexed High Growth	1.6600
2026-02-28T00:00:00	SRI - High Growth	1.3700
2026-02-28T00:00:00	Indexed Growth 	1.6200
2026-02-28T00:00:00	Indexed Conservative	1.2300
2026-02-28T00:00:00	Indexed Stable	1.0200
2026-02-28T00:00:00	Stable	0.7100
